unit,median,mean,count,std
Paleoproterozoic tectonic rocks,9.276965948878145,9.276965948878145,2,0.0
Paleozoic tectonic rocks,7.537593357971157,6.082439917853923,5,3.5913074024521427
Cenozoic volcanic and intrusive rocks,7.178473565730264,7.0128483083581985,193,2.567733605216749
Precambrian-Paleozoic mafic and/or ultramafic intrusive domains,7.058826356641963,6.725164377630401,4,1.9089446054683152
Paleoarchean crystalline metamorphic rocks,6.76684913817216,7.198677821284832,9,6.310525351699558
Cenozoic mafic and/or ultramafic intrusive domains,6.518671011735487,6.316015876835634,278,2.96127726575017
Precambrian-Phanerozoic sedimentary and volcanic rocks,6.26798430098861,5.833872699899296,220,2.4185918268563595
Paleoproterozoic volcanic and intrusive rocks,6.165974122258414,5.449336995486658,181,2.3394275325561207
Eoarchean crystalline metamorphic rocks,6.146713446091969,6.493066521251016,40,3.0782633105691164
Mesoproterozoic crystalline metamorphic rocks,6.0507649913355115,9.592143308197931,717,10.73320757978363
Mesoproterozoic-Neoproterozoic sedimentary rocks,5.9618901437965075,6.254112314820036,408,3.612507778067167
Paleozoic sedimentary and volcanic rocks,5.697736612474257,5.042757762306736,642,2.3765507894746425
Paleozoic-Mesozoic intrusive rocks,5.584844785783785,5.019026379724303,106,2.526219311094539
Precambrian crystalline metamorphic rocks,5.434314716022577,5.62358203316904,1067,4.375488234623246
Precambrian sedimentary rocks,5.428514156160206,5.25929795502619,123,1.8474125877731058
Proterozoic volcanic rocks,5.405301748087407,5.068407313862601,32,2.0194498117038133
Paleozoic felsic and/or intermediate volcanic domains,5.345168489373216,4.893855046016548,399,2.48024765175619
Archean-Paleoproterozoic tectonic rocks,5.335382267719888,4.652014166223078,10,3.2994633194156715
Paleoarchean-Mesoarchean sedimentary rocks,5.3028062300912335,5.064854176698254,47,1.056324591240597
Precambrian-Paleozoic mafic and/or ultramafic volcanic domains,5.279683879101691,4.703012322507494,63,2.6451758169312054
Precambrian-Phanerozoic sedimentary rocks,5.279222219135977,5.091197117936223,770,2.7624213878360053
Paleoproterozoic crystalline metamorphic rocks,5.250971529976733,4.882284060594818,1213,3.117106372100129
Neoarchean sedimentary rocks,5.230518941153993,5.228939384156904,313,2.5454146307991077
Archean-Paleoproterozoic intrusive rocks,5.174270187656935,5.282504129716907,38,2.159341386051828
Paleozoic-Mesozoic crystalline metamorphic rocks,5.163031721768536,5.018876595190775,471,1.8877174111163675
Proterozoic crystalline metamorphic rocks,5.131512753929872,4.85492630765855,884,2.2340057054222986
Mesoproterozoic-Neoproterozoic volcanic and intrusive rocks,5.093954171241132,5.283203259483148,80,2.6595301994782305
Neoproterozoic sedimentary and volcanic rocks,5.088295324227966,4.526133635755247,328,2.0219049615131506
Paleozoic-Mesozoic sedimentary rocks,5.0814240296993525,4.7852518436603955,693,2.6428637587312904
Mesozoic crystalline metamorphic rocks,5.063415276094926,5.095117352690157,101,1.7716093330282923
Mesozoic sedimentary and volcanic rocks,5.0582246863695275,4.807426065215834,1253,2.140034088008714
Precambrian-Paleozoic felsic and/or intermediate intrusive domains,5.046212408934999,4.943330545695925,327,4.896694432222694
Paleozoic crystalline metamorphic rocks,5.035711495533105,4.638889925965507,214,2.304014191529178
Mesozoic-Cenozoic sedimentary rocks,5.033677018368801,4.6678949941445,479,2.034840878206071
Mesozoic intrusive rocks,5.021205408815847,4.919723545755655,1486,2.676546299730038
Paleozoic mafic and/or ultramafic intrusive domains,5.019806371948482,4.9255842011276325,174,2.23953958558752
Cenozoic sedimentary rocks,5.00152301392395,4.771721257527228,9845,3.326701527231694
Mesoarchean-Neoarchean volcanic and intrusive rocks,4.989835632434717,4.794783755508447,222,2.735633140525533
Mesoarchean intrusive rocks,4.983585350556725,5.460861477363617,13,2.569347776778456
Proterozoic intrusive rocks,4.970810498738377,4.685244914545696,380,2.2280654218888647
Paleoproterozoic-Mesoproterozoic crystalline metamorphic rocks,4.970577276717353,5.985776023074836,470,8.46286704440211
Precambrian-Phanerozoic intrusive rocks,4.9664769930257275,5.15778265407895,440,5.817142671471919
Archean volcanic and intrusive rocks,4.949391562499117,4.725478221333038,246,2.6462597425514227
Mesozoic felsic and/or intermediate volcanic domains,4.909668599578076,4.336804334229047,723,2.154436748018113
Mesozoic felsic and/or intermediate intrusive domains,4.901305160597242,4.6865816045310424,1951,2.5001613967635126
Paleozoic-Mesozoic felsic and/or intermediate intrusive domains,4.883248581838557,4.727446087939174,138,2.681246191181653
Mesozoic-Cenozoic volcanic rocks,4.881163475203767,4.57267975212732,864,2.554314443881854
Paleoproterozoic sedimentary rocks,4.858671081224364,5.466176647553751,1182,3.4933481722097537
Neoproterozoic sedimentary rocks,4.856120769878364,4.824858156086045,1810,2.669918629939726
Mesozoic volcanic and intrusive rocks,4.852622886950274,4.919273820806676,44,3.385293676660967
Paleozoic mafic and/or ultramafic volcanic domains,4.822372701732587,4.7746639344321204,465,2.3328525157589195
Paleozoic intrusive rocks,4.820457447991161,4.485573856074315,2392,2.2952963781004514
Archean sedimentary rocks,4.795942401859529,4.664019693937666,645,2.403946322933972
Paleoarchean-Mesoarchean volcanic rocks,4.777999106225893,4.5747885696578106,159,1.7719981549180106
Paleoarchean-Mesoarchean sedimentary and volcanic rocks,4.7694459012777175,4.31615788946335,101,1.8578669142575905
Paleozoic felsic and/or intermediate intrusive domains,4.758960257703322,4.45230834275113,2543,2.3389582312015467
Precambrian-Phanerozoic unclassified domains,4.745041431108794,4.942529259727879,2196,3.0968395912227016
Cenozoic felsic and/or intermediate intrusive domains,4.716787619993869,4.695101022276093,265,2.6269379835385114
Phanerozoic unclassified domains,4.674877369471749,4.47892791424905,104942,2.607553673553006
Paleozoic volcanic rocks,4.669142837140181,4.685152682259945,639,2.336749515490366
undivided Phanerozoic rocks,4.628928018857553,4.43342263638175,71927,2.562645401673106
Cenozoic mafic and/or ultramafic volcanic domains,4.620723022829827,4.363603985510944,22412,2.4367807934767494
Cenozoic volcanic rocks,4.6089333349939015,4.370437020434749,29248,2.405635051807192
Mesozoic-Cenozoic mafic and/or ultramafic volcanic domains,4.580598960140733,4.462178810031017,588,2.632667688384008
Mesoarchean volcanic rocks,4.576687818042945,5.03422504152126,78,3.1930153637802627
Precambrian unclassified domains,4.5609,4.743395891705909,28364,3.7518453851980484
Mesozoic mafic and/or ultramafic volcanic domains,4.554540950978812,4.288526915823509,1290,2.246131261060995
Neoarchean volcanic rocks,4.551439139712786,5.35812506407688,331,4.3409429779347715
Paleozoic sedimentary rocks,4.531060757404794,4.4081575735070615,8878,2.3419236455040644
Paleoproterozoic sedimentary and volcanic rocks,4.525874272588015,4.930308749916575,1627,3.1842460633886147
Archean crystalline metamorphic rocks,4.505880754655705,4.582349766568914,8275,3.1596919184398216
Precambrian-Phanerozoic crystalline metamorphic rocks,4.47552758145803,4.682631603007834,1238,2.44364389767786
Mesoarchean-Neoarchean crystalline metamorphic rocks,4.441796227509487,4.287390900430284,798,2.545073750303098
Paleoproterozoic intrusive rocks,4.427067571099226,4.518972305192182,2309,3.9065123470681047
Mesozoic-Cenozoic mafic and/or ultramafic intrusive domains,4.4188439393301335,4.432277954299309,155,2.488711447114005
intrusive rocks,4.401230057927103,4.6389202520418795,10,2.6779489429600916
Neoproterozoic tectonic rocks,4.384250901530337,4.324903675593432,84,2.3854188942235712
Mesozoic-Cenozoic volcanic and intrusive rocks,4.354271881401025,4.342208250316901,270,2.598588464946989
Neoarchean sedimentary and volcanic rocks,4.32677203826812,4.13387075923929,264,2.37932134147596
Eoarchean volcanic rocks,4.309389463289515,4.482732149438405,166,2.673393232641519
Precambrian mafic and/or ultramafic intrusive domains,4.308632140651504,4.431552144914216,2111,3.227694454119836
Mesoproterozoic volcanic rocks,4.283745426251846,4.5077977626102435,224,2.9741311408686943
Precambrian felsic and/or intermediate intrusive domains,4.27490643918104,4.407882342494886,4328,2.9767997824776393
Mesoarchean crystalline metamorphic rocks,4.256205143704147,4.105261331470412,54,1.7764954363325869
Mesoproterozoic-Neoproterozoic crystalline metamorphic rocks,4.2533797303977945,4.66902774505765,136,3.7451406420068003
Cenozoic intrusive rocks,4.223478769011083,4.646366292782649,205,3.2042940135180022
Precambrian mafic-bearing supracrustal domains,4.191508790502017,4.357082782284553,107,2.5852874619398922
Neoarchean crystalline metamorphic rocks,4.174730213678985,4.334591179878338,25,3.0988466443255254
Paleoarchean-Mesoarchean volcanic and intrusive rocks,4.1343429657305775,3.5751788989638853,10,1.1905564517059868
Mesoproterozoic-Neoproterozoic sedimentary and volcanic rocks,4.129155579225741,3.928066284197864,398,2.206845876430406
Neoproterozoic crystalline metamorphic rocks,4.127773839752595,3.9222069236932406,543,2.4099092136359217
Mesozoic volcanic rocks,4.126472008385252,4.114435930959978,1663,2.342195816903749
Mesoproterozoic sedimentary and volcanic rocks,4.1216457890225895,4.325786655069569,374,2.6784665023877583
Neoarchean intrusive rocks,4.092279205496263,4.132582790850562,1306,2.4538214530450495
Archean intrusive rocks,4.063996226498085,4.174252341209585,2139,2.5821306521051106
Mesozoic sedimentary rocks,4.037135339570989,4.155330093401348,9504,2.3159282100038587
Paleozoic-Mesozoic sedimentary and volcanic rocks,4.025785038105631,4.200385123332666,179,2.511443891009996
Paleozoic-Mesozoic mafic and/or ultramafic intrusive domains,3.9976542636421257,3.9821341478350205,48,2.4077065118627456
Mesoproterozoic sedimentary rocks,3.992237691293525,4.060679329363608,348,2.527880103193914
Cenozoic sedimentary and volcanic rocks,3.9520858801966257,3.9588529084037485,1805,2.8995495411104883
Paleozoic-Mesozoic tectonic rocks,3.9456214885141176,3.6134919327024466,18,2.491102902023664
Proterozoic sedimentary rocks,3.928448352632214,3.8094042246669826,42,2.1286951314428526
Mesoarchean-Neoarchean sedimentary rocks,3.9158542364511586,4.017634860617449,259,2.215534138257547
Precambrian mafic and/or ultramafic volcanic domains,3.9098006326897816,4.204011844773097,2949,3.131999380922003
Paleoarchean-Mesoarchean intrusive rocks,3.8889725424593684,3.840744173147248,568,2.447106360050834
Paleoproterozoic volcanic rocks,3.888231153246729,4.255918456288704,1092,4.091575573024792
Archean sedimentary and volcanic rocks,3.866755424068313,3.8636321596617544,492,2.295604828725566
Paleozoic volcanic and intrusive rocks,3.839955026035301,3.672520039943144,45,2.3772263596227194
Mesozoic-Cenozoic felsic and/or intermediate intrusive domains,3.8279474595401775,4.015863177129671,675,2.948937049938319
Archean volcanic rocks,3.810967430579165,4.185903053271095,2099,3.231945618619692
Mesozoic mafic and/or ultramafic intrusive domains,3.809554718798629,3.9049625083437625,605,2.089936580042969
Mesoproterozoic intrusive rocks,3.7817979253166687,4.625716251842696,837,4.350146258898991
Cenozoic felsic and/or intermediate volcanic domains,3.781,3.8359463728760357,6373,2.299893230068401
Archean-Paleoproterozoic crystalline metamorphic rocks,3.7361026070074934,4.199461212199092,474,3.308326754135066
Mesozoic tectonic rocks,3.700219219436045,4.105991799484555,146,2.008331313985816
Mesoproterozoic volcanic and intrusive rocks,3.6913931843437844,4.403276868928581,132,2.808921203779982
Archean-Paleoproterozoic volcanic rocks,3.649880412744596,3.51058579752403,94,1.6859563197142258
Mesoarchean sedimentary rocks,3.599302505392163,3.577657697844111,26,2.3330267309102926
Archean-Paleoproterozoic sedimentary and volcanic rocks,3.597801027778899,3.613361987799474,146,2.4798994066750546
Mesoarchean-Neoarchean volcanic rocks,3.5506992212229607,3.8020626391342356,1149,2.5508052691431145
Precambrian intrusive rocks,3.545774561726649,3.7692514483816537,14,2.7683361152548422
Paleozoic-Mesozoic mafic and/or ultramafic volcanic domains,3.489963252471034,4.064403867557683,131,2.857474697455566
Phanerozoic ice,3.4759264188728736,3.9391845403944794,733,2.588029037357279
Precambrian felsic and/or intermediate volcanic domains,3.44868194453328,3.905098065924639,840,3.8888986887430836
Neoproterozoic volcanic rocks,3.3643,4.043576810244645,42,2.178934116746344
Mesozoic-Cenozoic intrusive rocks,3.2000322013797646,3.742078927178464,437,3.092400887309006
Mesoarchean-Neoarchean intrusive rocks,3.0595703999662565,3.5156652406301117,83,2.1977777256991224
Neoproterozoic intrusive rocks,3.033149092751727,3.8600087408607826,165,3.097510497190008
Neoproterozoic volcanic and intrusive rocks,3.0161917825580145,2.9857644466006024,62,1.6540283909410411
Paleoproterozoic-Mesoproterozoic intrusive rocks,2.9606688406113726,3.5974195141651863,170,2.809798066500753
Mesoarchean-Neoarchean sedimentary and volcanic rocks,2.888969420645288,3.006522832651081,77,2.047017473887978
Mesozoic-Cenozoic tectonic rocks,2.864727446553658,2.428252092753754,12,1.2734947201475826
Mesozoic-Cenozoic sedimentary and volcanic rocks,2.841600261066361,3.2143601040453653,56,1.884270832488911
Paleozoic-Mesozoic volcanic rocks,2.778978782610272,3.5930468735212617,29,2.596579843529602
Mesozoic-Cenozoic felsic and/or intermediate volcanic domains,2.7467374194471694,2.61503569937784,51,1.68579579643725
Precambrian-Phanerozoic volcanic rocks,2.6886726100453573,3.186366738133693,72,2.172136081089698
Mesoproterozoic-Neoproterozoic intrusive rocks,2.288415370035545,3.560277178141347,122,4.275853040436483
crystalline metamorphic rocks,2.2354461091075315,2.9371162787954765,19,2.809115539715678
Paleoarchean volcanic rocks,2.190389338756498,2.8007964743758405,54,2.41470344370738
Paleoarchean-Mesoarchean crystalline metamorphic rocks,2.076851729831663,2.680684153047542,294,2.390699933313685
Paleoproterozoic-Mesoproterozoic sedimentary rocks,1.8814462204217977,1.9916859403493927,12,1.3746037905257555
Paleoproterozoic-Mesoproterozoic volcanic rocks,1.8278419122941203,2.3433105989354948,34,1.381788544704261
undivided Cenozoic rocks,1.1345410831332627,1.1822046689657222,5,0.742828000312303
sedimentary rocks,0.0580338085866179,0.0580338085866179,1,
